curso,departamento,campus,turno,area_conhecimento,grau_academico,categoria_grau,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
BIOTECNOLOGIA,INSTITUTO DE CIENCIAS BIOLOGICAS,DARCY RIBEIRO,DIURNO,CIENCIAS BIOLOGICAS,BACHAREL,BACHARELADO,8.0,11.0,14.0,3210,474,245,163,51.69,34.39,19.18,85.31,14.69,4.08,9.8,9.0,-1.2,18.6,RETENÇÃO BAIXA,256,175.0,53.0,69.0,843600.0,54.01
BIBLIOTECONOMIA,FACULDADE DE CIENCIA DA INFORMACAO,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,8.0,11.0,14.0,2700,505,290,166,57.43,32.87,19.31,79.66,20.34,7.24,10.09,10.0,-0.91,17.5,RETENÇÃO BAIXA,105,63.0,35.0,47.0,306000.0,20.79
EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA E MATEMATICA,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA (FUP),DIURNO,CIENCIAS HUMANAS,LICENCIADO,LICENCIATURA,8.0,10.0,12.0,3550,61,45,16,73.77,26.23,13.33,64.44,35.56,17.78,10.47,10.0,0.47,17.4,RETENÇÃO BAIXA,0,,,,0.0,0.0
JORNALISMO,FACULDADE DE COMUNICACAO,DARCY RIBEIRO,DIURNO,CIENCIAS HUMANAS,BACHAREL,BACHARELADO,8.0,11.0,14.0,3000,458,276,144,60.26,31.44,15.22,78.62,21.38,6.16,10.1,10.0,-0.9,16.4,RETENÇÃO BAIXA,58,41.0,16.0,34.0,196800.0,12.66
COMUNICACAO SOCIAL,FACULDADE DE COMUNICACAO,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,8.0,11.0,14.0,2790,1094,693,322,63.35,29.43,15.01,73.02,26.98,12.12,10.63,10.0,-0.37,14.9,RETENÇÃO BAIXA,125,88.0,37.0,55.0,422400.0,11.43
ARQUITETURA E URBANISMO,DIRECAO DA FACULDADE DE ARQUITETURA E URBANISMO,DARCY RIBEIRO,NOTURNO,CIENCIAS SOCIAIS APLICADAS,ARQUITETO E URBANISTA,BACHARELADO,9.0,14.0,18.0,4110,844,510,240,60.43,28.44,5.88,81.96,18.04,1.76,12.82,13.0,-1.18,14.1,RETENÇÃO BAIXA,411,283.0,116.0,158.0,1369200.0,48.7
ENGENHARIA CIVIL,DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL,DARCY RIBEIRO,DIURNO,ENGENHARIAS,ENGENHEIRO CIVIL,BACHARELADO,8.0,13.0,18.0,3930,613,397,171,64.76,27.9,5.54,88.16,11.84,0.76,11.53,12.0,-1.47,13.7,RETENÇÃO BAIXA,187,130.0,45.0,78.0,627600.0,30.51
DIREITO,FACULDADE DE DIREITO,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,10.0,13.0,16.0,3840,1817,1139,506,62.69,27.85,38.98,92.45,7.55,2.63,10.98,11.0,-2.02,13.7,RETENÇÃO BAIXA,452,228.0,205.0,188.0,1101600.0,24.88
ARQUIVOLOGIA,FACULDADE DE CIENCIA DA INFORMACAO,DARCY RIBEIRO,NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,6.0,10.0,10.0,2400,611,428,153,70.05,25.04,2.34,83.88,16.12,36.45,9.06,9.0,-0.94,11.6,RETENÇÃO BAIXA,57,36.0,19.0,31.0,172800.0,9.33
DESIGN - PROGRAMACAO VISUAL,DEPARTAMENTO DE DESIGN,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,7.0,11.0,14.0,2940,195,155,34,79.49,17.44,2.58,46.45,53.55,14.84,11.54,12.0,0.54,11.5,RETENÇÃO BAIXA,34,26.0,5.0,11.0,135600.0,17.44
MEDICINA,FACULDADE DE MEDICINA,DARCY RIBEIRO,DIURNO,CIENCIAS DA SAUDE,MEDICO,BACHARELADO,10.0,14.0,18.0,7920,489,404,47,82.62,9.61,1.98,84.65,15.35,0.74,12.99,13.0,-1.01,0.0,RETENÇÃO BAIXA,560,357.0,167.0,253.0,1800000.0,114.52
