curso,departamento,campus,turno,area_conhecimento,grau_academico,categoria_grau,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
ENGENHARIA AUTOMOTIVA,UNB - FACULDADE DO GAMA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM ENGENHARIA (FCTE),DIURNO,ENGENHARIAS,BACHAREL,BACHARELADO,10.0,13.0,16.0,3885,258,100,121,38.76,46.9,9.0,49.0,51.0,21.0,13.68,14.0,0.68,35.1,RETENÇÃO ALTA,30,19.0,6.0,5.0,91200.0,11.63
GEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA,DARCY RIBEIRO,DIURNO,CIENCIAS HUMANAS,MISTO (BACHARELADO + LICENCIATURA),MISTO,6.0,10.0,14.0,2910,876,317,488,36.19,55.71,4.73,69.09,30.91,10.09,9.84,9.0,-0.16,34.6,RETENÇÃO ALTA,169,101.0,59.0,89.0,495600.0,19.29
QUIMICA,INSTITUTO DE QUIMICA,DARCY RIBEIRO,NOTURNO,CIENCIAS EXATAS E DA TERRA,MISTO (BACHARELADO + LICENCIATURA),MISTO,7.0,10.0,12.0,3150,953,234,508,24.55,53.31,14.96,55.98,44.02,32.91,10.16,10.0,0.16,34.5,RETENÇÃO ALTA,165,114.0,39.0,41.0,579600.0,17.31
LINGUA DE SINAIS BRASILEIRA -PORTUGUES COMO SEGUNDA LINGUA,"DEPARTAMENTO DE LINGUISTICA, PORTUGUES, LING CLAS",DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,LICENCIATURA,8.0,12.0,16.0,2820,90,23,50,25.56,55.56,91.3,100.0,0.0,0.0,8.13,8.0,-3.87,34.5,RETENÇÃO ALTA,32,14.0,18.0,11.0,67200.0,35.56
MUSICA,DEPARTAMENTO DE ARTES VISUAIS,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",MISTO (BACHARELADO + LICENCIATURA),MISTO,8.0,11.0,14.0,3015,549,227,302,41.35,55.01,26.87,69.16,30.84,10.13,10.41,10.0,-0.59,34.1,RETENÇÃO ALTA,36,27.0,5.0,9.0,129600.0,6.56
ENGENHARIA FLORESTAL,DEPARTAMENTO DE ENGENHARIA FLORESTAL,DARCY RIBEIRO,DIURNO,CIENCIAS AGRARIAS,ENGENHEIRO FLORESTAL,BACHARELADO,8.0,12.0,16.0,3870,621,199,285,32.05,45.89,4.02,47.24,52.76,13.07,12.65,13.0,0.65,34.0,RETENÇÃO MÉDIA,187,138.0,34.0,69.0,684000.0,30.11
TURISMO,CENTRO DE EXCELENCIA EM TURISMO,DARCY RIBEIRO,DIURNO,CIENCIAS HUMANAS,BACHAREL,BACHARELADO,8.0,12.0,16.0,2640,455,163,245,35.82,53.85,3.68,77.91,22.09,7.98,11.38,11.0,-0.62,33.2,RETENÇÃO MÉDIA,28,18.0,10.0,13.0,86400.0,6.15
ENFERMAGEM,DEPARTAMENTO DE ENFERMAGEM,DARCY RIBEIRO,DIURNO,CIENCIAS DA SAUDE,ENFERMEIRO,BACHARELADO,10.0,11.0,14.5,4230,1196,564,520,47.16,43.48,26.24,52.48,47.52,7.98,11.73,11.0,0.73,33.0,RETENÇÃO MÉDIA,600,450.0,123.0,307.0,2221200.0,50.17
CIENCIAS NATURAIS,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA (FUP),NOTURNO,CIENCIAS HUMANAS,LICENCIADO,LICENCIATURA,7.0,11.0,16.0,3225,944,259,504,27.44,53.39,5.79,76.45,23.55,0.77,10.12,10.0,-0.88,32.9,RETENÇÃO MÉDIA,100,75.0,21.0,39.0,360000.0,10.59
SAUDE COLETIVA,UNB - FACULDADE DA CEILANDIA,DARCY RIBEIRO,NOTURNO,CIENCIAS DA SAUDE,BACHAREL,BACHARELADO,8.0,10.5,14.0,3225,1214,417,606,34.35,49.92,9.11,53.24,46.76,9.59,10.75,10.0,0.25,32.9,RETENÇÃO MÉDIA,151,97.0,44.0,59.0,472800.0,12.44
